总资产,总负债,股东权益,营业收入,净利润,研发费用,公司,报告日期,营业利润
414.788998032,227.64027052880002,177.9338603467,233.43093018689999,5.601626631599999,38.9160138359,科大讯飞,0,
378.3112297815,200.99089356529998,170.3228451172,196.5032920904,6.5731290824,34.811852629899995,科大讯飞,1,
328.5913972002,160.1207590917,164.0004781943,188.20234052909998,5.6121302079,31.1129714368,科大讯飞,2,
313.9403775441,140.56797008540002,167.8072370263,183.13605605919997,15.564638945599999,28.298409775,科大讯飞,3,
248.3609181868,118.6428085458,126.6800544656,130.2465786585,13.637896167300001,22.1106114673,科大讯飞,4,
201.0083608561,83.66000082720001,114.1795878525,100.7868891969,8.1917585863,16.3954549561,科大讯飞,5,
153.0258368764,70.9082708985,79.711047701,79.1722190267,5.42066004,12.6289228876,科大讯飞,6,
133.4033635299,53.8782316483,77.1772492041,54.4468814738,4.3467599414,5.9602845360000005,科大讯飞,7,
104.1394238519,31.951710899400002,70.61438697850001,33.204766895700004,4.8443041583,,科大讯飞,8,
83.90341360229999,18.671738042,62.6773445311,25.007991300700002,4.2529448951,,科大讯飞,9,
51.6989590766,12.684767204000002,37.066276464299996,17.7521061295,3.7942988655,,科大讯飞,10,
43.2752743976,8.664748688200001,33.1055695943,12.5370775078,2.7898616731,,科大讯飞,11,
18.5338096996,3.7064887197000003,13.445112634700001,7.8394068371,1.8240487588,,科大讯飞,12,
14.312032568800001,2.4541835066,11.7656347505,5.5701353069,1.3262890190999999,,科大讯飞,13,
8.6507406174,2.0360989914,6.528658532000001,4.3605733842,1.0113924264,,科大讯飞,14,
7.2821950649,1.2918292285,5.838764105599999,3.071251529,0.8026985816,,科大讯飞,15,
5.9672639608,0.6632834368,5.303980524,2.5755214084,0.6987274886,,科大讯飞,16,
2.7048889535000002,0.9850309801999999,1.6938517163,2.0581020808000003,0.5349828834,,科大讯飞,17,
2.1944516497,0.9259928168000001,1.2684588329000002,1.7135527556,0.3514876831,,科大讯飞,18,
1.6771055209999999,0.7417373989,0.9149111498,0.8156752181,0.0998584285,,科大讯飞,19,
