FISCAL_YEAR,总负债,总资产,现金及等价物,研发费用,公司
12-31,150386867000.0,221233644000.0,68131696000.0,20444771000.0,商汤科技
12-31,20558067000.0,53743722000.0,14403626000.0,4945196000.0,旷视科技
