SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT_INTERBANK,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ACCRUED_EXPENSE,ADVANCE_RECEIVABLES,AGENT_TRADE_SECURITY,AGENT_UNDERWRITE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,AMORTIZE_COST_NCFINASSET,AMORTIZE_COST_NCFINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,ASSIGN_CASH_DIVIDEND,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,CONSUMPTIVE_BIOLOGICAL_ASSET,CONTRACT_ASSET,CONTRACT_LIAB,CONVERT_DIFF,CREDITOR_INVEST,CURRENT_ASSET_BALANCE,CURRENT_ASSET_OTHER,CURRENT_LIAB_BALANCE,CURRENT_LIAB_OTHER,DEFER_INCOME,DEFER_INCOME_1YEAR,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DEVELOP_EXPENSE,DIV_HOLDSALE_ASSET,DIV_HOLDSALE_LIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,EQUITY_BALANCE,EQUITY_OTHER,EXPORT_REFUND_RECE,FEE_COMMISSION_PAYABLE,FIN_FUND,FINANCE_RECE,FIXED_ASSET,FIXED_ASSET_DISPOSAL,FVTOCI_FINASSET,FVTOCI_NCFINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,INSURANCE_CONTRACT_RESERVE,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INTERNAL_PAYABLE,INTERNAL_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LOAN_PBC,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PAYABLE,LONG_PREPAID_EXPENSE,LONG_RECE,LONG_STAFFSALARY_PAYABLE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_ASSET_1YEAR,NONCURRENT_ASSET_BALANCE,NONCURRENT_ASSET_OTHER,NONCURRENT_LIAB_1YEAR,NONCURRENT_LIAB_BALANCE,NONCURRENT_LIAB_OTHER,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OIL_GAS_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,PREDICT_CURRENT_LIAB,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,PREPAYMENT,PRODUCTIVE_BIOLOGY_ASSET,PROJECT_MATERIAL,RC_RESERVE_RECE,REINSURE_PAYABLE,REINSURE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_BOND_PAYABLE,SHORT_FIN_PAYABLE,SHORT_LOAN,SPECIAL_PAYABLE,SPECIAL_RESERVE,STAFF_SALARY_PAYABLE,SUBSIDY_RECE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,TREASURY_SHARES,UNASSIGN_RPOFIT,UNCONFIRM_INVEST_LOSS,USERIGHT_ASSET,ACCEPT_DEPOSIT_INTERBANK_YOY,ACCOUNTS_PAYABLE_YOY,ACCOUNTS_RECE_YOY,ACCRUED_EXPENSE_YOY,ADVANCE_RECEIVABLES_YOY,AGENT_TRADE_SECURITY_YOY,AGENT_UNDERWRITE_SECURITY_YOY,AMORTIZE_COST_FINASSET_YOY,AMORTIZE_COST_FINLIAB_YOY,AMORTIZE_COST_NCFINASSET_YOY,AMORTIZE_COST_NCFINLIAB_YOY,APPOINT_FVTPL_FINASSET_YOY,APPOINT_FVTPL_FINLIAB_YOY,ASSET_BALANCE_YOY,ASSET_OTHER_YOY,ASSIGN_CASH_DIVIDEND_YOY,AVAILABLE_SALE_FINASSET_YOY,BOND_PAYABLE_YOY,BORROW_FUND_YOY,BUY_RESALE_FINASSET_YOY,CAPITAL_RESERVE_YOY,CIP_YOY,CONSUMPTIVE_BIOLOGICAL_ASSET_YOY,CONTRACT_ASSET_YOY,CONTRACT_LIAB_YOY,CONVERT_DIFF_YOY,CREDITOR_INVEST_YOY,CURRENT_ASSET_BALANCE_YOY,CURRENT_ASSET_OTHER_YOY,CURRENT_LIAB_BALANCE_YOY,CURRENT_LIAB_OTHER_YOY,DEFER_INCOME_1YEAR_YOY,DEFER_INCOME_YOY,DEFER_TAX_ASSET_YOY,DEFER_TAX_LIAB_YOY,DERIVE_FINASSET_YOY,DERIVE_FINLIAB_YOY,DEVELOP_EXPENSE_YOY,DIV_HOLDSALE_ASSET_YOY,DIV_HOLDSALE_LIAB_YOY,DIVIDEND_PAYABLE_YOY,DIVIDEND_RECE_YOY,EQUITY_BALANCE_YOY,EQUITY_OTHER_YOY,EXPORT_REFUND_RECE_YOY,FEE_COMMISSION_PAYABLE_YOY,FIN_FUND_YOY,FINANCE_RECE_YOY,FIXED_ASSET_DISPOSAL_YOY,FIXED_ASSET_YOY,FVTOCI_FINASSET_YOY,FVTOCI_NCFINASSET_YOY,FVTPL_FINASSET_YOY,FVTPL_FINLIAB_YOY,GENERAL_RISK_RESERVE_YOY,GOODWILL_YOY,HOLD_MATURITY_INVEST_YOY,HOLDSALE_ASSET_YOY,HOLDSALE_LIAB_YOY,INSURANCE_CONTRACT_RESERVE_YOY,INTANGIBLE_ASSET_YOY,INTEREST_PAYABLE_YOY,INTEREST_RECE_YOY,INTERNAL_PAYABLE_YOY,INTERNAL_RECE_YOY,INVENTORY_YOY,INVEST_REALESTATE_YOY,LEASE_LIAB_YOY,LEND_FUND_YOY,LIAB_BALANCE_YOY,LIAB_EQUITY_BALANCE_YOY,LIAB_EQUITY_OTHER_YOY,LIAB_OTHER_YOY,LOAN_ADVANCE_YOY,LOAN_PBC_YOY,LONG_EQUITY_INVEST_YOY,LONG_LOAN_YOY,LONG_PAYABLE_YOY,LONG_PREPAID_EXPENSE_YOY,LONG_RECE_YOY,LONG_STAFFSALARY_PAYABLE_YOY,MINORITY_EQUITY_YOY,MONETARYFUNDS_YOY,NONCURRENT_ASSET_1YEAR_YOY,NONCURRENT_ASSET_BALANCE_YOY,NONCURRENT_ASSET_OTHER_YOY,NONCURRENT_LIAB_1YEAR_YOY,NONCURRENT_LIAB_BALANCE_YOY,NONCURRENT_LIAB_OTHER_YOY,NOTE_ACCOUNTS_PAYABLE_YOY,NOTE_ACCOUNTS_RECE_YOY,NOTE_PAYABLE_YOY,NOTE_RECE_YOY,OIL_GAS_ASSET_YOY,OTHER_COMPRE_INCOME_YOY,OTHER_CREDITOR_INVEST_YOY,OTHER_CURRENT_ASSET_YOY,OTHER_CURRENT_LIAB_YOY,OTHER_EQUITY_INVEST_YOY,OTHER_EQUITY_OTHER_YOY,OTHER_EQUITY_TOOL_YOY,OTHER_NONCURRENT_ASSET_YOY,OTHER_NONCURRENT_FINASSET_YOY,OTHER_NONCURRENT_LIAB_YOY,OTHER_PAYABLE_YOY,OTHER_RECE_YOY,PARENT_EQUITY_BALANCE_YOY,PARENT_EQUITY_OTHER_YOY,PERPETUAL_BOND_PAYBALE_YOY,PERPETUAL_BOND_YOY,PREDICT_CURRENT_LIAB_YOY,PREDICT_LIAB_YOY,PREFERRED_SHARES_PAYBALE_YOY,PREFERRED_SHARES_YOY,PREMIUM_RECE_YOY,PREPAYMENT_YOY,PRODUCTIVE_BIOLOGY_ASSET_YOY,PROJECT_MATERIAL_YOY,RC_RESERVE_RECE_YOY,REINSURE_PAYABLE_YOY,REINSURE_RECE_YOY,SELL_REPO_FINASSET_YOY,SETTLE_EXCESS_RESERVE_YOY,SHARE_CAPITAL_YOY,SHORT_BOND_PAYABLE_YOY,SHORT_FIN_PAYABLE_YOY,SHORT_LOAN_YOY,SPECIAL_PAYABLE_YOY,SPECIAL_RESERVE_YOY,STAFF_SALARY_PAYABLE_YOY,SUBSIDY_RECE_YOY,SURPLUS_RESERVE_YOY,TAX_PAYABLE_YOY,TOTAL_ASSETS_YOY,TOTAL_CURRENT_ASSETS_YOY,TOTAL_CURRENT_LIAB_YOY,TOTAL_EQUITY_YOY,TOTAL_LIAB_EQUITY_YOY,TOTAL_LIABILITIES_YOY,TOTAL_NONCURRENT_ASSETS_YOY,TOTAL_NONCURRENT_LIAB_YOY,TOTAL_OTHER_PAYABLE_YOY,TOTAL_OTHER_RECE_YOY,TOTAL_PARENT_EQUITY_YOY,TRADE_FINASSET_NOTFVTPL_YOY,TRADE_FINASSET_YOY,TRADE_FINLIAB_NOTFVTPL_YOY,TRADE_FINLIAB_YOY,TREASURY_SHARES_YOY,UNASSIGN_RPOFIT_YOY,UNCONFIRM_INVEST_LOSS_YOY,USERIGHT_ASSET_YOY,OPINION_TYPE,OSOPINION_TYPE,LISTING_STATE
688256.SH,688256,寒武纪,10000077576,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,,514643074.17,304598605.32,,,,,,,,,,,0,,,,,,,9808846937.11,150227427.57,,19985114.9,886169.91,,,0,,0,,467161757.39,,40935.11,268444.02,,,,,,,,0,,,,,,231425279.77,,,,,,,,,,,,182762964.88,,,,,1773974363.76,,1766757.26,,0,,,,,,246590588.23,,,15023998.39,,,7820911.97,1986492266.28,,0,,12448504.46,0,,514643074.17,314049018.45,,9450413.13,,,50463333.33,152001243.44,35821.56,,,,15900672.47,9350000.0,,,,0,,,,,,,,,774376692.81,,,,,,,,417456753.0,,,100094722.23,,,156237878.8,,,26780344.34,6717812509.7,5800316619.44,818135979.38,5430479571.65,6717812509.7,1287332938.05,917495890.26,469196958.67,7009463.91,19253117.52,5422658659.68,,760184802.28,,,130292821.04,-4673352209.39,,15710690.51,,116.939354956,-52.6962809967,,,,,,,,,,,,,,,,,,2.4172609179,37.6167816822,,-49.5988958941,236.4825286849,,,,,,,,112.5192171375,-85.9977912588,-27.2879159034,,,,,,,,,,,,,,,63.2243813352,,,,,,,,,,,21.9015525654,,,,,1684.663280383,,-65.5995700053,,,,,,,,7.4210350956,,,168.2750239988,,,-90.1858686419,-49.7562527091,,,,-64.610571958,,,116.939354956,-51.2286456256,,,,,-29.3143289227,316.1854460915,4.6276897302,,,,25.908859369,0.0,,,,,,,,,,,,,423.5909821551,,,,,,,,0.2069883547,,,,,,-2.0771135702,,,-9.2809876331,4.6708429441,2.7056094719,76.6341688475,-5.2194432214,4.6708429441,86.9745516501,19.0750114626,108.230285091,398.3243121559,-26.3601070853,-4.0210017649,8.5563431586,,,,5.8603118469,-10.7163552013,,-61.5195903149,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-19 00:00:00,CNY,,237229005.44,643921052.59,,,,,,,,,,,0,,,,,,,9577337696.01,109163595.99,,39652137.1,263362.83,,,0,,0,,219820947.81,,292347.52,369187.63,,,,,,,,0,,,,,,141783523.93,,,,,,,,,,,,149926691.69,,,,,99401068.16,,5135858.07,,0,,,,,,229555215.15,,,5600222.55,,,79690312.72,3953710408.54,,0,,35175771.83,0,,237229005.44,643921052.59,,,,,71391178.1,36522479.31,34237.17,,,,12628716.16,9350000.0,,,,0,,,,,,,,,147897255.53,,,,,,,,416594451.0,,,,,,159551954.09,,,29520101.29,6418036122.33,5647516868.13,463181039.5,5729529089.32,6418036122.33,688507033.01,770519254.2,225325993.51,1406606.85,26144955.89,5649838776.6,,700267511.01,,,123079952.03,-4221013418.38,,40827763.11,,2.944683675,-15.8942545119,,,,,,,,,,,,,,,,,,21.6283472013,317.2831369841,,-12.9843640478,93.2467459853,,,,,,,,-10.9173810922,-37.0103268174,-26.3102940763,,,,,,,,,,,,,,,-39.211594304,,,,,,,,,,,-48.5046217897,,,,,-65.3801368386,,-87.6821138924,,,,,,,,3.301341168,,,-64.4759593498,,,-6.0561683398,60.2437829011,,,,-44.115188782,,,2.944683675,-15.8971765459,,,,,-88.2382712015,-94.3905601055,93.2468091039,,,,89.3150564179,27.2108843537,,,,,,,,,,,,,1687.205785576,,,,,,,,3.9369321955,,,,,,-20.0757957736,,,-34.0118576775,11.2152918078,32.7216253829,-14.5650461041,15.9889233678,11.2152918078,-17.1572105397,-49.1628614069,-22.0206767054,-66.822048608,-13.3094111756,16.3741084714,,,,,158.5032735489,-25.1570557911,,-61.3620452804,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-29 00:00:00,2024-04-30 00:00:00,CNY,,230443182.66,765608875.89,,,,,,,,,,,0,,,,,,,7874264442.78,26160557.74,,45568979.26,136283.19,,,0,,0,,246760760.41,,464119.76,501002.99,,,,,,,,0,,,,,,233241063.5,,,,,,,,,,,,291145918.14,,,,,287121493.51,,41694313.66,,0,,,,,,222219007.57,,,15764598.98,,,84827615.94,2467309705.85,,0,,62943349.12,0,,230443182.66,765635475.89,,26600.0,,,606978611.08,651089591.77,17716.81,,,,6670740.51,7350000.0,,,,0,,,,,,,,,8275334.42,,,,,,,,400814650.0,,,,,,199629080.62,,,44735463.45,5770821636.13,4255159512.88,542144659.04,4939720900.03,5770821636.13,831100736.1,1515662123.25,288956077.06,4239583.19,30158932.18,4854893284.09,,,,,47612531.3,-3372573277.39,,105667505.97,,7.3452653814,60.1574598215,,,,,,,,,,,,,,,,,,3.5172878445,2372.008594847,,26.5475948667,-40.7417499993,,,,,,,,-46.8898324867,14796.832672136,,,,,,,,,,,,,,,,-16.6794565565,,,,,,,,,,,11.5360791914,,,,,0.0319479936,,-0.0567758769,,,,,,,,70.6117741015,,,27.3054057495,,,-4.9595148646,-15.5275616584,,,,17.8921376332,,,7.3452653814,60.1630242665,,,,,,-72.0983730027,2649.9472262751,,,,-76.9457541919,0.0,,,,,,,,,,,,,-90.2889380117,,,,,,,,0.1786178455,,,,,,4.0845669312,,,11.8304110483,-17.4316665987,-31.043796889,7.8688141432,-17.3988925203,-17.4316665987,-17.6259268307,85.213679939,-42.9322399428,69.4304742034,-0.0057806397,-17.5873621586,,,,,,-59.3951327841,,8.5010744379,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-16 00:00:00,2023-04-29 00:00:00,CNY,,214674752.39,478035101.67,,,,,,,,,,,0,,,,,,,7606714401.76,1058271.31,,36009360.2,229981.8,,,0,,0,,464620565.07,,3115.56,,,,,,,,,0,,,,,,279932239.83,,,,,,,,,,,,261032950.28,,,,,287029793.25,,41717999.42,,0,,,,,,130248342.32,,,12383291.1,,,89254190.8,2920845845.45,,0,,53390625.01,0,,214674752.39,478035101.67,,,,,,2333518370.93,644.26,,,,28934976.08,7350000.0,,,,0,,,,,,,,,85215545.22,,,,,,,,400100000.0,,,,,,191795082.12,,,40002950.03,6989146320.88,6170814692.38,502596291.01,5980211465.38,6989146320.88,1008934855.5,818331628.5,506338564.49,2502255.4,30160675.66,5890957274.58,,,,,,-2115857127.18,,97388442.02,,-10.0386489915,130.216113312,,,,,,,,,,,,,,,,,,3.9090899959,,,1110.0843371855,-90.64862261,,,,,,,,-2.6877314902,,,,,,,,,,,,,,,,,106.4073722096,,,,,,,,,,,0.0591343184,,,,,216.7454461114,,,,,,,,,,9619.8534903546,,,25.7248525265,,,,-40.0887571721,,,,,,,-10.0386489915,130.216113312,,,,,,39.4317416227,-95.873780967,,,,68.2627619468,0.0,,,,,,,,,,,,,891.4250019358,,,,,,,,0.0,,,,,,41.7480651358,,,94.5020643058,-4.3830781049,-10.2726206603,25.4689578853,-7.0168651279,-4.3830781049,14.909262579,89.3252918789,6.0498782207,-30.404257592,62.3557434247,-8.4046311809,,,,,,-64.1285402635,,,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-27 00:00:00,2022-05-26 00:00:00,CNY,,238629978.3,207646239.35,,,,,,,,,,,0,,,,,,,7320547607.59,,,2975772.77,2459336.1,,,0,,0,,477453225.77,,,,,,,,,,,0,,,,,,135621241.06,,,,,,,,,,,,260878681.45,,,,,90618443.54,,,,0,,,,,,1340023.72,,,9849517.3,,,,4875288355.88,,0,,,0,,238629978.3,207646239.35,,,,,,1673591926.61,15613.81,,,,17196304.01,7350000.0,,,,0,,,,,,,,,8595258.85,,,,,,,,400100000.0,,,,,,135307019.49,,,20566851.14,7309528671.66,6877292904.12,400574213.32,6431501232.57,7309528671.66,878027439.09,432235767.54,477453225.77,3595414.48,18576907.12,6431501232.57,,,,,,-1289146375.02,,,,91.0356301986,221.3907485437,,,,,,,,,,,,,,,,,,50.9043851692,,,,,,,,,,,,545.052791113,,,,,,,,,,,,,,,,,57.6113674378,,,,,,,,,,,118.9495924843,,,,,77.4554762345,,,,,,,,,,-1.4912389256,,,42.5398324,,,,1171.8961517936,,,,,,,91.0356301986,221.3907485437,,,,,,-57.4009965822,,,,,357.0033081076,,,,,,,,,,,,,,-21.0838429564,,,,,,,,11.1388888889,,,,,,60.13684759,,,-19.9502737481,56.5721767382,54.5028162272,68.3261212912,47.6307008818,56.5721767382,181.4255699702,98.9750392556,545.052791113,114.107356238,46.7920504882,47.6307008818,,,,,,-50.8413874968,,,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-03-26 00:00:00,2021-05-26 00:00:00,CNY,,124913859.29,64608654.82,,1194744.75,,,,,,,,,0,,,,,,,4851116552.63,,,,,,,0,,0,,74017697.83,,,,,,,,,,,0,,,,,,86047880.47,,,,,,,,,,,,119150110.53,,,,,51065453.41,,,,0,,,,,,1360309.18,,,6910010.44,,,,383308680.43,,0,,,0,,124913859.29,64608654.82,,,,,,3928711454.11,,,,,3762840.16,,,,,0,,,,,,,,,10891633.82,,,,,,,,360000000.0,,,,,,84494619.15,,,25692593.97,4668472281.56,4451241130.78,237975074.96,4356479508.77,4668472281.56,311992772.79,217231150.78,74017697.83,1679257.8,12655254.19,4356479508.77,,,,,,-854637043.86,,,,457.6639218245,97.9166446082,,,,,,,,,,,,,,,,,,420.2994890238,,,,,,,,,,,,-10.8593377448,,,,,,,,,,,,,,,,,112.4301508633,,,,,,,,,,,236.1502448417,,,,,891.847854318,,,,,,,,,,,,,73.3766243656,,,,-71.6984799474,,,,,,,457.6639218245,97.9166446082,,,,,,158.4293525265,,,,,-47.4688517195,,,,,,,,,,,,,,-52.6337527391,,,,,,,,31814.0787894777,,,,,,136.564325877,,,287.5728985299,53.4948743402,50.688065925,-90.2779002892,753.1370684104,53.4948743402,-87.6722127508,148.2427577082,-10.8593377448,-99.9295326175,-31.7969629006,753.1370684104,,,,,,-102.1108111998,,,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2020-03-26 00:00:00,2020-07-14 00:00:00,CNY,,22399487.29,32644376.6,,,,,,,,,,,0,,,,,,,932370039.75,407006.89,,,,,,0,,0,,83034718.34,,,,,,,,,,,0,,,,,,40506434.76,,,,,,,,,,,,35445492.71,,,,,5148516.8,,,,0,,,,,,,,,3985549.07,,,,1354374887.7,,0,,,0,,22399487.29,32644376.6,,,,,,1520226481.9,,,,,7163064.74,,,,,0,,,,,,,,,22994504.42,,,,,,,,1128028.8,,,,,,35717396.88,,,6629099.73,3041451580.47,2953944032.3,2447774472.99,510642389.14,3041451580.47,2530809191.33,87507548.17,83034718.34,2383028489.09,18555264.88,510642389.14,,,,,,-422855679.41,,,,2442.198111065,640.0820748898,,,,,,,,,,,,,,,,,,125.274858371,-90.2892438149,,,,,,,,,,,64.5269373469,,,,,,,,,,,,,,,,,474.5726011776,,,,,,,,,,,1046.4310552933,,,,,10321.7380329547,,,,,,,,,,,,,1705.8180152947,,,,483.2889824364,,,,,,,2442.198111065,640.0820748898,,,,,,531.176990653,,,,,15.5909840235,,,,,,,,,,,,,,-36.8219056731,,,,,,,,12.2807185185,,,,,,306.7284011655,,,564.937693848,415.3390141848,418.7508560852,383.1394987037,1443.8191141994,415.3390141848,354.2761865828,321.7117169678,64.5269373469,380.4690648909,302.3557095014,1443.8191141994,,,,,,-10.7505294204,,,标准无保留意见,,0
688256.SH,688256,寒武纪,10000077576,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2020-03-26 00:00:00,2020-07-14 00:00:00,CNY,,881107.07,4410913.02,,,,,,,,,,,0,,,,,,,413881090.19,4191299.65,,,,,,0,,0,,50468768.02,,,,,,,,,,,0,,,,,,7049837.51,,,,50913737.4,,,,,,,,3091811.98,,,,,49401.71,,,,0,,,,,,,,,220706.02,,,,232196206.08,,0,,,0,,881107.07,4410913.02,,,,,,240855814.52,,,,,6196906.1,,,,,0,,,,,,,,,36396324.81,,,,,,,,1004650.5,,,,,,8781633.34,,,996950.51,590184615.71,569434054.45,506639279.04,33076568.65,590184615.71,557108047.06,20750561.26,50468768.02,495979588.12,4611656.91,33076568.65,,,,,,-381809172.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见,,0
