SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688207.SH,688207,格灵深瞳,10000001041,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,117239442.16,-55.300887434,117239442.16,-55.300887434,,,,,,,,,,,329950870.37,-9.3462472806,55699907.89,-52.6526238136,,,,,188971311.87,2.7239377809,,,,,,,,,,,,,268945.21,-85.5834885287,37662731.3,-25.9274891503,70596815.06,46.4786677842,,,-23248840.96,39.6765918509,3371236.95,47.6448722167,26626059.99,-34.7855211981,,,,,,,-777462.37,-162.0374961604,13696111.33,234.1571693909,,,,,,,718862.12,,-1768436.53,54.9440940981,-7070027.94,-682.7583420314,5257292.26,-52.0717270575,,,0,,-202655089.34,-124.6989410893,305723.04,395.5447128537,,,1222541.59,402.59014845,,,,,0,,-203571907.89,-125.2620288106,8507144.41,10705.5825948099,,,,,,,-212079052.3,-134.4713242649,,,-212079052.3,-134.4713242649,,,-211596823.4,-134.2402711908,-482228.9,-313.3975469901,-226531193.33,-132.9017478759,,,,,-0.84,-140.0,-0.84,-140.0,1130207.18,121.2535316994,1130207.18,121.2535316994,,,,,,,1130207.18,121.2535316994,,,1130207.18,121.2535316994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-210948845.12,-134.5463963356,-210466616.22,-134.3141267572,-482228.9,-313.3975469901,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-26 00:00:00,CNY,262285838.42,-25.8353573193,262285838.42,-25.8353573193,,,,,,,,,,,363968242.32,0.8222568995,117640960.02,-21.1770611159,,,,,183960346.49,39.0033264282,,,,,,,,,,,,,1865535.99,-47.5859847273,50845760.28,-24.8591775936,48195970.19,18.8246579303,,,-38540330.65,-19.0371458645,2283341.71,154.3331963318,40828448.65,22.8436698421,,,,,,,1253213.65,1737.7946147573,4098703.42,347.8035280949,,,,,,,,,-3924982.74,-68.524816874,-903219.75,25.741369109,10969083.46,-64.8414670315,,,0,,-90189605.86,-523.6113931546,61694.34,-98.1369842105,,,243248.22,-42.3308474922,,,,,0,,-90371159.74,-473.7375799217,78729.16,100.9642899888,,,,,,,-90449888.9,-379.6423428722,,,-90449888.9,-379.6423428722,,,-90333238.74,-376.9689985522,-116650.16,56.8090983278,-97264702.99,-487.9513300912,,,,,-0.35,-369.2307692308,-0.35,-369.2307692308,510819.95,-87.2233585602,510819.95,-87.2233585602,,,,,,,510819.95,-87.2233585602,,,510819.95,-87.2233585602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89939068.95,-347.473396351,-89822418.79,-345.3292748661,-116650.16,56.8090983278,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-20 00:00:00,2024-04-27 00:00:00,CNY,353653478.18,20.4696698316,353653478.18,20.4696698316,,,,,,,,,,,360999895.77,-2.2064401245,149247112.18,14.577859302,,,,,132342405.91,9.2770855067,,,,,,,,,,,,,3559231.21,17.7999697533,67667292.76,-8.1436771868,40560579.79,-9.4772723087,,,-32376726.08,-771.3919153621,897775.73,-3.7402708488,33236103.01,601.3833067264,,,,,,,68191.17,,915290.56,,,,,,,,,,-2329023.59,-20.0833415322,-1216316.19,85.8199957633,31198922.52,76.9180414026,,,0,,21290646.88,131.0970717264,3311530.71,12097.5214380087,,,421799.54,53.3464425659,,,,,0,,24180378.05,135.1903814155,-8164469.29,,,,,,,,32344847.34,147.0723622421,,,32344847.34,147.0723622421,,,32614927.74,147.6703257328,-270080.4,8.558502496,25071367.32,138.5068852284,,,,,0.13,126.5306122449,0.13,126.5306122449,3998076.9,-93.1996861333,3998076.9,-93.1996861333,,,,,,,3998076.9,-93.1996861333,,,3998076.9,-93.1996861333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36342924.24,466.3417630913,36613004.64,480.3893801428,-270080.4,8.558502496,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-02-25 00:00:00,2023-04-20 00:00:00,CNY,293562254.03,20.9490845821,293562254.03,20.9490845821,,,,,,,,,,,369144855.99,5.0267460042,130258248.05,39.6952465961,,,,,121107188.48,5.9710550685,,,,,,,,,,,,,3021419.46,120.7268190592,73666450.7,-13.6166521972,44807067.6,-28.5827698811,,,-3715518.3,31.6760585894,932659.73,1071.7575639859,4738650.42,13.4483766862,,,,,,,,,,,,,,,,,,,-1939505.98,-3.1321331676,-8577685.66,-399.6865128563,17634675.51,26.4772956949,,,0,,-68465118.09,11.643133219,27149.21,-61.7314546854,,,275063.14,-64.9836739803,,,,,0,,-68713032.02,12.1334944117,,,,,,,,,-68713032.02,12.1334944117,,,-68713032.02,12.1334944117,,,-68417673.34,12.1376829234,-295358.68,11.1523759205,-65108790.73,36.2516044863,,,,,-0.49,12.5,-0.49,12.5,58792534.85,-61.3103042754,58792534.85,-61.3103042754,,,,,,,58792534.85,-61.3103042754,,,58792534.85,-61.3103042754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9920497.17,-113.4501475704,-9625138.49,-112.9911496764,-295358.68,11.1523759205,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-06-22 00:00:00,2022-03-16 00:00:00,CNY,242715565.02,240.8414260707,242715565.02,240.8414260707,,,,,,,,,,,351476999.94,-25.8266291859,93244581.49,180.5008919976,,,,,114283271.41,19.101728584,,,,,,,,,,,,,1368850.18,233.6277443124,85278531.77,14.324478993,62739856.37,-77.0275276316,,,-5438091.28,-57.6109063943,79594.94,-94.72761701,4176922.19,55.2909129422,,,,,,,,,16349823.98,197.9054311714,-16186304.71,7.0556364897,,,,,,,-1880602.99,-81.8766071214,2862219.45,508.0731743141,13942957.44,248.1025555352,,,0,,-77487037.04,81.4207281441,70943.93,2097.7673482032,,,785528.27,49.7262091281,,,,,0,,-78201621.38,81.272803311,,,,,,,,,-78201621.38,81.272803311,,,-78201621.38,81.272803311,,,-77869188.54,81.1694871507,-332432.84,91.8049770306,-102134006.99,45.8496367914,,,,,-0.56,,-0.56,,151959155.4,,151959155.4,,,,,,,,151959155.4,,,,151959155.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73757534.02,117.6629566307,74089966.86,117.9166124512,-332432.84,91.8049770306,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2021-06-22 00:00:00,2022-02-25 00:00:00,CNY,71210699.89,37.039730714,71210699.89,37.039730714,,,,,,,,,,,473858739.44,238.4944797507,33242169.33,77.7195632061,,,,,95954334.81,31.7146021605,,,,,,,,,,,,,410292.67,-70.8709617348,74593413.87,199.9328101237,273108855.52,1146.2251435125,,,-3450326.76,-1528.1409170892,1509657.78,168.7514914861,2689740.25,176.8288669286,,,,,,,,,-16699608.78,-231.5324266088,-17415047.13,-83.9173472166,,,,,15875.95,,-1033999.38,71.3269535841,-701398.58,,4005416.57,-8.6833574138,,,0,,-417061753.77,-459.4371958769,3228.0,-90.4739364185,,,524643.13,966.4306253046,,,,,0,,-417583168.9,-460.0216000615,,,,,,,,,-417583168.9,-460.0216000615,,,-417583168.9,-460.0216000615,,,-413526647.75,-491.5785553278,-4056521.15,13.011963367,-188611859.53,-104.3431353112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-417583168.9,-460.0216000615,-413526647.75,-491.5785553278,-4056521.15,13.011963367,,,,,,,,,,,标准无保留意见
688207.SH,688207,格灵深瞳,10000001041,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2021-06-22 00:00:00,2022-02-25 00:00:00,CNY,51963543.36,,51963543.36,,,,,,,,,,,,139990093.72,,18704845.28,,,,,,72850187.63,,,,,,,,,,,,,,1408534.9,,24870041.34,,21914888.89,,,,241595.68,,561730.01,,971625.64,,,,,,,,,,12696191.51,,-9468952.98,,,,,,,,-3606172.03,,,,4386294.17,,,,0,,-74550236.71,,33885.98,,,,49196.18,,,,,,0,,-74565546.91,,,,,,,,,,-74565546.91,,,,-74565546.91,,,,-69902237.67,,-4663309.24,,-92301539.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74565546.91,,-69902237.67,,-4663309.24,,,,,,,,,,,,标准无保留意见
