SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688327.SH,688327,云从科技,10451967,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,397684607.77,-36.6867371362,397684607.77,-36.6867371362,,,,,,,,,,,1026844711.89,-15.4494498213,255260011.02,-15.7080433728,,,,,472148658.34,-18.2693342081,,,,,,,,,,,,,1184080.18,-30.1731976646,131063084.62,-33.4443721579,183857131.36,32.7882255754,,,-16668253.63,-434.2576522109,13725584.97,-24.6969070231,31156706.46,36.1824032536,,,,,,,364942.86,-83.9513376568,10778186.97,73.3172890105,1658388.42,706.6995542691,,,,,-1085187.45,-10124.6225942752,-89038647.75,-64.8738758023,-35055689.13,43.9987996806,29761515.34,-24.6283577593,,,0,,-713434983.28,-8.9272794759,5052473.41,1351.3992309109,,,142866.57,92.9415096472,,,,,0,,-708525376.44,-8.2229654425,-2857708.93,-206.3170141648,,,,,,,-705667667.51,-7.3457463482,,,-705667667.51,-7.3457463482,,,-695687560.64,-8.117153371,-9980106.87,28.3098399305,-722323870.76,-4.8548448024,,,,,-0.67,-8.064516129,-0.67,-8.064516129,-3792322.01,-165.531075969,-3792322.01,-165.531075969,,,,,,,,,,,,,,,,,,,,,-3792322.01,-165.531075969,,,,,,,,,-3792322.01,-165.531075969,,,,,,,,,,,,,,,-709459989.52,-8.8811388865,-699479882.65,-9.6930662879,-9980106.87,28.3098399305,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-18 00:00:00,2025-04-30 00:00:00,CNY,628122118.15,19.3273314971,628122118.15,19.3273314971,,,,,,,,,,,1214474311.19,-13.3523233486,302828432.55,-12.7571955309,,,,,577688501.33,3.0967526645,,,,,,,,,,,,,1695738.8,16.3903716362,196922617.77,-2.7869739472,138458911.22,-50.1301768989,,,-3119890.48,-124.9358178272,18227119.8,-32.0876415019,22878658.12,37.3791617258,,,,,,,2273976.81,-66.911680604,6218760.42,-39.3884130117,205576.96,115.2618102865,,,,,10825.22,100.422362127,-54004096.96,-86.6420876487,-62598103.13,40.7862720628,39486356.48,-50.0817381024,,,0,,-654964474.2,28.5142215501,348110.52,-80.2274904734,,,74046.57,-96.135858548,,,,,0,,-654690410.25,28.5562728392,2687913.08,11138.3536880094,,,,,,,-657378323.33,28.2610454002,,,-657378323.33,28.2610454002,,,-643457156.38,25.9483354356,-13921166.95,70.6414437564,-688879824.41,27.2012843519,,,,,-0.62,30.3370786517,-0.62,30.3370786517,5787058.97,563.273234384,5787058.97,563.273234384,,,,,,,,,,,,,,,,,,,,,5787058.97,563.273234384,,,,,,,,,5787058.97,563.273234384,,,,,,,,,,,,,,,-651591264.36,28.8248112015,-637670097.41,26.5405724679,-13921166.95,70.6414437564,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-18 00:00:00,2024-04-18 00:00:00,CNY,526385791.31,-51.0566505429,526385791.31,-51.0566505429,,,,,,,,,,,1401623630.46,-23.1955255668,347109924.3,-48.7608730032,,,,,560336272.87,4.8991780913,,,,,,,,,,,,,1456940.79,-60.3625239623,202568139.03,-27.6946503199,277640670.47,-14.7975989441,,,12511683.0,244.2715617064,26839179.5,87.1456240641,16653659.72,18.8212556463,,,,,,,6872445.78,,10260019.13,-29.5036101955,-1347002.46,,,,,,-2563018.63,-214.8234098905,-28934576.14,-51.7233148306,-105715524.61,-198.2915933837,79102025.95,-37.1127117322,,,0,,-916216467.67,-38.5340905105,1760578.34,1892.6174460184,,,1916248.95,,,,,,0,,-916372138.28,-38.5761413443,-24350.67,-100.8587564627,,,,,,,-916347787.61,-37.9807936413,,,-916347787.61,-37.9807936413,,,-868930037.11,-37.4610002419,-47417750.5,-48.2538864247,-946280189.53,-25.6635530927,,,,,-0.89,11.8811881188,-0.89,11.8811881188,872500.0,-56.1346419639,872500.0,-56.1346419639,,,,,,,,,,,,,,,,,,,,,872500.0,-56.1346419639,,,,,,,,,872500.0,-56.1346419639,,,,,,,,,,,,,,,-915475287.61,-38.2635195419,-868057537.11,-37.7564358041,-47417750.5,-48.2538864247,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-07 00:00:00,2023-04-18 00:00:00,CNY,1075500138.73,42.4935776546,1075500138.73,42.4935776546,,,,,,,,,,,1824924447.18,13.1468030633,677431378.41,58.7503258219,,,,,534166504.51,-7.5953730274,,,,,,,,,,,,,3675664.89,87.4199792616,280156502.84,2.3029166158,325860148.34,-8.0186644274,,,3634248.19,116.5210362301,14341334.26,112.4605733047,14015724.4,-51.8523356739,,,,,,,,,14553963.91,-2.1867858928,,,,,,,2232139.45,,-19070619.55,-54.5882015882,-35440329.85,-0.7340631491,125783808.03,179.0262557858,,,0,,-661365346.46,21.6384597028,88355.06,-66.0786561544,,,,,,,,,0,,-661276991.4,21.6401249581,2835573.42,7588.1873944105,,,,,,,-664112564.82,21.3075549415,,,-664112564.82,21.3075549415,,,-632128411.39,22.2410483376,-31984153.43,-3.1712340447,-753026765.71,13.1001444291,,,,,-1.01,22.9007633588,-1.01,22.9007633588,1989041.1,,1989041.1,,,,,,,,,,,,,,,,,,,,,,1989041.1,,,,,,,,,,1989041.1,,,,,,,,,,,,,,,,-662123523.72,21.5432416545,-630139370.29,22.4857229132,-31984153.43,-3.1712340447,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-07-13 00:00:00,2022-05-24 00:00:00,CNY,754770956.3,-6.5122227348,754770956.3,-6.5122227348,,,,,,,,,,,1612882023.86,4.418481837,426727551.52,-10.5849586245,,,,,578073330.32,27.2857984493,,,,,,,,,,,,,1961191.6,-27.923546239,273849966.46,19.9085675872,354267685.19,-10.4909712398,,,-21997701.23,-61.0620381895,6750115.58,4654.3967062667,29109873.96,108.8276875997,,,,,,,1678361.33,90.7251064251,14879343.29,-2.8678788792,,,,,,,,,-12336400.42,7.3047923047,-35182071.23,-171.6577020154,45079559.87,-19.7403469653,,,0,,-843992274.72,-22.1090479158,260470.4,2334.3028037383,,,165650.91,-74.2276658085,,,,,0,,-843897455.23,-21.9837816442,36882.21,-87.20598821,,,,,,,-843934337.44,-21.9383013125,,,-843934337.44,-21.9383013125,,,-812933299.48,-27.0999971147,-31001037.96,40.948287731,-866545474.4,-23.6293743052,,,,,-1.31,54.9828178694,-1.31,54.9828178694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-843934337.44,-21.9383013125,-812933299.48,-27.0999971147,-31001037.96,40.948287731,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-12-03 00:00:00,2022-05-24 00:00:00,CNY,807347204.5,66.7682057998,807347204.5,66.7682057998,,,,,,,,,,,1544632708.2,114.5877928421,477243587.83,25.9054019743,,,,,454153831.27,206.4684052351,,,,,,,,,,,,,2720987.92,-5.6784233101,228382318.27,77.1333332928,395789888.57,542.0094708189,,,-13657905.66,-1433.3153752998,141976.28,,13939662.07,1397.0489400062,,,,,,,879989.72,,15318664.02,72.0088791675,,,,,,,,,-13308563.33,-839.1332776449,-12950883.03,,56167150.2,98.5647675731,,,0,,-691179146.12,-245.7187015533,10700.0,,,,642747.02,221.37351,,,,,0,,-691811193.14,-245.689024954,288277.13,,,,,,,,-692099470.27,-245.8330732738,,,-692099470.27,-245.8330732738,,,-639601351.64,-254.0061315075,-52498118.63,-169.9120960068,-700921993.07,-232.665243864,,,,,-2.91,-42.6470588235,-2.91,-42.6470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-692099470.27,-245.8330732738,-639601351.64,-254.0061315075,-52498118.63,-169.9120960068,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2020-12-03 00:00:00,2021-08-04 00:00:00,CNY,484113383.98,650.1710310976,484113383.98,650.1710310976,,,,,,,,,,,719813875.59,269.9736067669,379049334.14,829.2195201758,,,,,148189445.8,149.4498285519,,,,,,,,,,,,,2884799.02,360.0017543473,128932434.13,101.5666118708,61648605.91,104.9697571472,,,-890743.41,-187.5213673614,,,931142.71,184.4905558112,,,,,,,,,8905740.27,135.3948691758,,,,,,,,,-1417111.25,-335.7691222435,,,28286564.07,667.3747536635,,,0,,-199925298.52,-61.4461112222,,,,,200000.0,,,,,,0,,-200125298.52,-61.6076176572,,,,,,,,,-200125298.52,-61.6076176572,,,-200125298.52,-61.6076176572,,,-180675218.51,-69.9412041185,-19450080.01,-11.0306063496,-210698895.06,-88.2778338142,,,,,-2.04,-42.6573426573,-2.04,-42.6573426573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200125298.52,-61.6076176572,-180675218.51,-69.9412041185,-19450080.01,-11.0306063496,,,,,,,,,,,标准无保留意见
688327.SH,688327,云从科技,10451967,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2020-12-03 00:00:00,2020-12-03 00:00:00,CNY,64533734.83,,64533734.83,,,,,,,,,,,,194558169.13,,40792226.8,,,,,,59406513.39,,,,,,,,,,,,,,627127.83,,63965174.06,,30076927.82,,,,-309800.77,,,,327301.8,,,,,,,,-953909.98,,3783319.62,,,,,,,,,,-325197.72,,,,3686147.34,,,,0,,-123834075.04,,,,,,,,,,,,0,,-123834075.04,,,,,,,,,,-123834075.04,,,,-123834075.04,,,,-106316310.66,,-17517764.38,,-111908497.56,,,,,,-1.43,,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123834075.04,,-106316310.66,,-17517764.38,,,,,,,,,,,,标准无保留意见
