SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688207.SH,688207,格灵深瞳,10000001041,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,132233347.8,,,,,,,,,,,,2822523.54,39188114.07,,0,174243985.41,47906119.62,,,,,,200972477.19,4815838.96,67051312.26,,0,320745748.03,,0,-146501762.62,4882772542.13,13685778.12,26239.1,,,1961957.74,,0.0,4898446517.09,10916990.55,5158653864.38,,,,,,0,5169570854.93,,0,-271124337.84,,,,,5680451.76,,0,5680451.76,,60750.0,,,62444177.43,,,0,62504927.43,,0,-56824475.67,,,0,-474450576.13,893429083.68,,0,418978507.55,-212079052.3,1768436.53,9587259.27,9587259.27,,306509.76,6062097.78,,,,-718862.12,469421.43,777462.37,3371236.95,-13696111.33,8507144.41,9056530.12,-549385.71,,15143433.98,18821230.31,-11295965.27,,2739775.57,0,-146501762.62,,,,,418978507.55,893429083.68,,,,,-474450576.13,-60.7290714814,,,,,,,,,,,,-68.4078421977,4.4855432913,,,-54.5245718043,-67.9086117825,,,,,,4.6082766836,-68.3867573283,16.0609543235,,,-22.6009924768,,,-368.8841282861,184.1067671025,233.9050601519,,,,,,,184.3406552233,-56.7282558027,149.2907137617,,,,,,,146.8092231483,,,27.0823700699,,,,,1985.533620277,,,1985.533620277,,,,,233.6906280864,,,,234.0152653303,,,-208.1450451357,,,,-12.5601867837,-32.0553916258,,,-53.1044472132,-134.4713242649,-54.9440940981,39.3827368575,39.3827368575,,141.9890057592,431.781314278,,,,,192.164916641,162.0374961604,47.6448722167,-234.1571693909,10705.5825948099,11403.3999092585,,,62.4293091956,-46.289561481,54.5668211891,,-81.818822356,,-368.8841282861,,,,,-53.1044472132,-32.0553916258,,,,,-12.5601867837,标准无保留意见,,,,16664192.1,15.0088328202
688207.SH,688207,格灵深瞳,10000001041,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-26 00:00:00,CNY,336720706.1,,,,,,,,,,,,8934253.74,37505776.24,,0,383160736.08,149280296.93,,,,,,192119097.61,15233612.73,57772497.78,,0,414405505.05,,0,-31244768.97,1718640000.0,4098703.42,,,,,,0.0,1722738703.42,25228912.66,2069332542.13,,,,,,0,2094561454.79,,0,-371822751.37,,,,,272374.02,,0,272374.02,,,,,18713194.85,,,0,18713194.85,,0,-18440820.83,,,0,-421508341.17,1314937424.85,,0,893429083.68,-90449888.9,3924982.74,6878369.22,6878369.22,,126662.68,1139960.66,,,,,160670.02,-1253213.65,2283341.71,-4098703.42,78729.16,78729.16,,,9323092.03,35042034.34,-24862810.76,,15069296.52,0,-31244768.97,,,,,893429083.68,1314937424.85,,,,,-421508341.17,-27.0956046864,,,,,,,,,,,,-62.2182271352,-39.6817453003,,,-30.0409563663,-12.0763522489,,,,,,32.3053773147,-57.6307037995,37.4263654769,,,5.4504255585,,,-120.1961135376,150.6073287741,285.3170350327,,,,,,,150.8159521253,156.3407214103,53.6355467054,,,,,,,54.380575064,,,44.4956354814,,,,,,,,-99.9839722243,,,,,-63.043867704,,,,-71.1983377051,,,-101.1282827133,,,,-137.659380091,572.010307036,,,-32.0553916258,-379.6423428722,68.524816874,61.1295442426,61.1295442426,,10.2077388454,24.873359803,,,,,2.4678897421,-1737.7946147573,166.7196369922,-347.8035280949,100.9642899888,100.9642899888,,,160.2549527012,-43.9393687407,-196.1317889127,,-63.0082581701,,-120.1961135376,,,,,-32.0553916258,572.010307036,,,,,-137.659380091,标准无保留意见,,,,14489488.93,80.6617616145
688207.SH,688207,格灵深瞳,10000001041,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-20 00:00:00,2024-04-27 00:00:00,CNY,461866125.7,,,,,,,,,,,,23646994.47,62179810.12,,0,547692930.29,169784012.32,,,,,,145208835.43,35954368.13,42038874.84,,0,392986090.72,,0,154706839.57,685790000.0,1063722.35,,,,,,0.0,686853722.35,9841944.94,1346910000.0,,,,,,0,1356751944.94,,0,-669898222.59,1699387525.27,,,,,,0,1699387525.27,14000000.0,336383.57,,,50636237.31,,,0,64972620.88,,0,1634414904.39,41692.64,,0,1119265214.01,195672210.84,,0,1314937424.85,32344847.34,2329023.59,4268844.21,4268844.21,,114930.84,912893.4,,,,,156800.36,-68191.17,856083.09,-915290.56,-8164469.29,-8164469.29,,,-15472739.77,62507384.51,25863256.1,,40736920.66,0,154706839.57,,,,,1314937424.85,195672210.84,0.0,0.0,,,1119265214.01,168.6504722535,,,,,,,,,,,,60.4984184495,506.2631594389,,,178.1430133402,98.0165246541,,,,,,29.6554287959,46.3510998333,-30.5242083589,,,38.9555888216,,,280.0935057156,,,,,,,,,,18.1173930764,,,,,,,,16182.9607119983,,,-7939.7352516438,,,,,,,,12038.4823233571,122.2714041805,569.3278656949,,,374.8220020581,,,,281.8971606421,,,54343.2792003464,568.8823111319,,,1250.8210410137,-33.2017587028,,,572.010307036,147.0723622421,20.083340913,38.6068587339,38.6068587339,,47.8459264519,-14.6685799588,,,,,281.053425609,,-24.5464533986,,,,,,-48.2172346144,132.741723459,-66.1312534743,,-52.0990118939,,280.0935057156,,,,,572.010307036,-33.2017587028,,,,,1250.8210410137,标准无保留意见,,,,8020230.07,17.3985119235
688207.SH,688207,格灵深瞳,10000001041,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-02-25 00:00:00,2023-04-20 00:00:00,CNY,171920831.49,,,,,,,,,,,,14733475.07,10256240.9,,0,196910547.46,85742345.3,,,,,,111995954.8,24567200.5,60508666.18,,0,282814166.78,,0,-85903619.32,,,,,,,,,,8332341.82,,,,,,,0,8332341.82,,0,-8332341.82,,,14000000.0,,,,0,14000000.0,6298606.0,50256.92,,,10664256.73,,,0,17013119.65,,0,-3013119.65,-8891.92,,0,-97257972.71,292930183.55,,0,195672210.84,-68713032.02,1939505.99,3079821.77,3079821.77,,77736.9,1069820.94,,,,,41149.18,0.0,1134582.97,0.0,0.0,0.0,,,-10439231.18,-190910489.45,76363192.48,85044009.05,85044009.05,0,-85903619.32,,,,,195672210.84,292930183.55,0.0,0.0,,,-97257972.71,-23.3885401953,,,,,,,,,,,,84.5177625595,-61.1752057178,,,-23.9162832396,9.0248723401,,,,,,15.4393052243,135.4918096934,60.8188585097,,,26.4145779387,,,-344.822265562,,,,,,,,,,208.3135308973,,,,,,,,3.9910756553,,,-239.2463294109,,,122.2714041805,,,,,-41.1505325371,-58.0929293138,-91.0972446835,,,1677.3761216667,,,,5.0552744566,,,-139.6720764753,-100.6353173234,,,-294.2567696697,20.615166522,,,-33.2017587028,12.1334944117,-10.7702985638,-28.9913919191,-28.9913919191,,16.2914792974,-35.3696739398,,,,,-93.0303521594,,193.2706899913,100.0,,,,,-234.7959519008,-1360.0735684758,7393.3143638859,-34.3288043803,,,-344.822265562,,,,,-33.2017587028,20.615166522,,,,,-294.2567696697,标准无保留意见,,,,6831628.39,
688207.SH,688207,格灵深瞳,10000001041,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-06-22 00:00:00,2022-03-16 00:00:00,CNY,224406155.33,,,,,,,,,,,,7984854.61,26416729.54,,0,258807739.48,78644756.43,,,,,,97017176.76,10432295.09,37625354.85,,0,223719583.13,,0,35088156.35,,,1880.31,,,13994560.54,,0.0,13996440.85,2702554.7,,,,,5310000.0,,0,8012554.7,,0,5983886.15,17490904.09,,6298606.0,,,,0,23789510.09,15029936.23,564509.73,,,600000.0,,,0,16194445.96,,0,7595064.13,1399602.95,,0,50066709.58,242863473.97,,0,292930183.55,-78201621.38,2173610.31,4337251.29,4337251.29,,66846.6,1655292.5,,,,,590405.44,,-1216441.06,-16349823.98,,,,,7744469.35,-13075402.06,1019084.33,129499711.78,,0,35088156.35,,,,,292930183.55,242863473.97,,,,,50066709.58,149.4634451166,,,,,,,,,,,,24.7406189136,198.4496743752,,,145.9962293143,13.2114997989,,,,,,-1.7282312701,19.6919921788,-3.3597015889,,,3.6507527141,,,131.7161593733,,,-92.4906697977,,,,,,-37.1299833576,-21.0675174235,,,,,,,,47.727317437,,,-64.4633302593,-94.0447677903,,-66.4609830254,,,,,-92.3870263372,-55.7943052059,-63.3145131906,,,-96.7168262654,,,,-69.9065085059,,,-97.0638318312,-40.4631639595,,,-70.0612215059,221.1070836461,,,20.615166522,81.272803311,110.2138891031,2.0955561865,2.0955561865,,0.0,0.9772196605,,,,,869.846877636,,-44.6145838172,-197.9054311714,,,,,167.3331134115,-95.4520678454,-59.6966320309,-56.6921298263,,,131.7161593733,,,,,20.615166522,221.1070836461,,,,,-70.0612215059,标准无保留意见,,,,,
688207.SH,688207,格灵深瞳,10000001041,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2021-06-22 00:00:00,2022-02-25 00:00:00,CNY,89955526.44,,,,,,,,,,,,6401166.42,8851317.93,,0,105208010.79,69467109.41,,,,,,98723344.47,8715950.75,38933400.94,,0,215839805.57,,0,-110631794.78,21000000.0,1237465.75,25039.65,,,,,0.0,22262505.4,3423881.54,2000000.0,,,,,,0,5423881.54,,0,16838623.86,293706500.0,,18779936.23,,,,0,312486436.23,34000000.0,1538782.17,,,18275000.0,,,0,53813782.17,,0,258672654.06,2350818.49,,0,167230301.63,75633172.34,,0,242863473.97,-417583168.9,1033999.38,4248227.3,4248227.3,,66846.6,1639273.2,,,,-15875.95,60876.15,,-841160.71,16699608.78,,,,,-11501724.72,-6689825.39,2528533.92,299021196.98,,0,-110631794.78,,,,,242863473.97,75633172.34,,,,,167230301.63,105.0501079422,,,,,,,,,,,,59.2347478968,36.3219881536,,,93.4577944623,86.3003107975,,,,,,41.9049411696,13.9091651296,-22.9566752193,,,30.7772474914,,,0.0263231671,,406.362109628,425.9513572213,,,,,,-47.4940419868,-68.9592034238,-90.4761904762,,,,,,,-91.8290749626,,,170.2185624701,156.8421043058,,-48.1932793655,,,,,96.714290754,466.6666666667,203.7931125979,,,1362.0,,,,593.7874322519,,,71.1970790484,479.4388884161,,,956.0375520618,26.4820954571,,,221.1070836461,-460.0216000615,-71.3269535841,67.6704628852,67.6704628852,,0.0,28.9614419675,,,,,740.6392189625,,-171.2074860679,231.5324266088,,,,,-176.8138964922,89.1146615339,-90.8292043551,4904.435146242,,,0.0263231671,,,,,221.1070836461,26.4820954571,,,,,956.0375520618,标准无保留意见,,,,,
688207.SH,688207,格灵深瞳,10000001041,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2021-06-22 00:00:00,2022-02-25 00:00:00,CNY,43870021.5,,,,,,,,,,,,4019955.76,6492949.56,,0,54382926.82,37287704.52,,,,,,69570054.19,7651667.66,50534424.69,,0,165043851.06,,0,-110660924.24,,244383.56,4760.83,42150816.0,,,,0.0,42399960.39,11030263.13,21000000.0,,,,34350000.0,,0,66380263.13,,0,-23980302.74,114352941.0,,36250000.0,,8250000.0,,0,158852941.0,6000000.0,506523.06,,,1250000.0,,,0,7756523.06,,0,151096417.94,-619551.28,,0,15835639.68,59797532.66,,0,75633172.34,-74565546.91,3606172.03,2533676.61,2533676.61,,66846.6,1271134.36,,,,,7241.65,,1181281.29,-12696191.51,,,,,-4155038.77,-61457210.64,27571587.22,5975123.83,,0,-110660924.24,,,,,75633172.34,59797532.66,,,,,15835639.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见,,,,,
