SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688327.SH,688327,云从科技,10451967,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,420638828.0,,,,,,,,,,,,5599026.94,78508953.84,,0,504746808.78,220852251.07,,,,,,347267365.37,7682049.68,235996894.96,,0,811798561.08,,0,-307051752.3,260000000,9639864.93,124613.0,,,,,0,269764477.93,77538351.0,53000000.0,,,,,,0,130538351.0,,0,139226126.93,,,466800000.0,,335034258.39,,0,801834258.39,629800000.0,13590479.44,,,52395470.87,,,0.0,695785950.31,,0,106048308.08,,,0,-61777317.29,887981188.24,,0,826203870.95,-705667667.51,89038647.75,59870979.02,59870979.02,,43424486.86,4980475.78,,,,1085187.45,-105363.06,-364942.86,14327683.11,-10778186.97,-2871673.48,-3754472.45,882798.97,,-16264506.74,-37899145.91,10702446.86,194042352.06,,0,-307051752.3,,,,,826203870.95,887981188.24,,,,,-61777317.29,-29.4266415795,,,,,,,,,,,,220.248189494,-6.6596072236,,,-25.9781930869,-11.0832585752,,,,,,-21.7710095514,-26.0028666354,7.7787719124,,,-11.917852742,,,-28.0723399979,-81.0218978102,-1.9754191337,623.110186782,,,,,,-80.4497437089,-63.3106164187,-93.4865419866,,,,,,,-87.2650129971,,,-60.7608343893,,,-25.786963434,,179.0058692706,,,7.0423345584,4.9064590402,-19.0883274864,,,-89.5594230278,,,,-37.8199386112,,,128.6691286124,,,,75.7580843649,-22.2989826309,,,-6.9570524813,-7.3457463482,64.8738758023,91.4787960607,91.4787960607,,16.0225382636,-48.1170458802,,,,10124.6225942752,-5504.9523438221,83.9513376568,-26.4860606984,-73.3172890105,-206.8461007175,-276.3531541297,58.0033779973,,-155.8756556506,53.3461445959,-86.2545618806,18.2305787748,,,-28.0723399979,,,,,-6.9570524813,-22.2989826309,,,,,75.7580843649,标准无保留意见,,,,14371786.21,-25.1448219885
688327.SH,688327,云从科技,10451967,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-18 00:00:00,2025-04-30 00:00:00,CNY,596030623.19,,,,,,,,,,,,1748339.92,84110374.41,,0,681889337.52,248380954.51,,,,,,443911347.16,10381550.38,218964171.49,,0,921638023.54,,0,-239748686.02,1370000000,9834130.22,17232.92,,,,,0,1379851363.14,211337295.51,813699879.4,,,,,,0,1025037174.91,,0,354814188.23,,,629000000.0,,120081437.45,,0,749081437.45,600344350.35,16796685.84,,,501844591.63,,,0.0,1118985627.82,,0,-369904190.37,1907.85,,0,-254836780.31,1142817968.55,,0,887981188.24,-657378323.33,54004096.96,31267680.94,31267680.94,,37427630.45,9599445.26,,,,-10825.22,1949.38,-2273976.81,19489750.17,-6218760.42,2687672.7,2128951.12,558721.58,,29108395.33,-81234756.66,77861809.62,164121967.49,164121967.49,0,-239748686.02,,,,,887981188.24,1142817968.55,,,,,-254836780.31,11.3702206917,,,,,,,,,,,,-93.1093087286,31.0918163855,,,9.1523396052,-43.7972241849,,,,,,-17.9185860745,-44.0772761405,-11.1308476686,,,-26.1335765922,,,61.5167913677,-38.8392857143,-45.3181773134,-39.50602029,,,,,,-38.890896216,234.0734903263,-73.0736815831,,,,,,,-66.7757807191,,,142.8935039602,,,-17.093796254,,-73.2650529584,,,-74.4853982702,9.6831181259,-2.2900581791,,,-12.3263220358,,,,-1.5787707633,,,-120.5621372041,-86.4013291821,,,-173.0655294298,43.9245606349,,,-22.2989826309,28.2610454002,86.6420876487,-59.5673168564,-59.5673168564,,5.8383422377,-43.0977178461,,,,-100.422362127,-99.2884974323,66.911680604,-32.2691388069,39.3884130117,10959.7078861041,77.6214302498,147.5796189729,,-62.6652153962,18.974236212,152.5788934855,,0.4498470121,,61.5167913677,,,,,-22.2989826309,43.9245606349,,,,,-173.0655294298,标准无保留意见,,,,19199454.99,-11.2081002543
688327.SH,688327,云从科技,10451967,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-18 00:00:00,2024-04-18 00:00:00,CNY,535179529.58,,,,,,,,,,,,25372489.51,64161422.68,,0,624713441.77,441937165.75,,,,,,540818348.43,18564100.0,246389400.31,,0,1247709014.49,,0,-622995572.72,2240000000,17984276.56,28487.0,,,,,0,2258012763.56,63260720.06,3021950000.0,,,,,,0,3085210720.06,,0,-827197956.5,1728049100.0,,758688700.7,,449155321.92,,0,2935893122.62,547344350.35,17190354.97,,,572400523.49,,,0.0,1136935228.81,,0,1798957893.81,14029.68,,0,348778394.27,794039574.28,,0,1142817968.55,-916347787.61,28934576.14,77332688.58,77332688.58,,35363016.52,16870053.18,,,,2563018.63,273980.74,-6872445.78,28775287.7,-10260019.13,24301.48,1198589.11,-1174287.63,,77965885.27,-100257933.85,-148085675.56,,163386976.06,0,-622995572.72,,,,,1142817968.55,794039574.28,,,,,348778394.27,-36.463718563,,,,,,,,,,,,51.4656780214,-68.7491803499,,,-41.3074919284,-37.4584533352,,,,,,-13.3956548069,-35.9265740442,-1.8791023611,,,-22.5593564089,,,-13.9353404307,30.460104834,4.1880451422,-99.2133411422,,,,,,29.9289565149,29.9152647004,114.2619115145,,,,,,,111.4470401763,,,-396.7113341225,,,51.1821663513,,140.4463739099,,,326.3332685955,96.321502995,60.8951155479,,,86.3261555553,,,,90.5410781157,,,1856.4453645109,294.4146433733,,,298.0957333494,-18.1491229152,,,43.9245606349,-37.9807936413,51.7233148306,-16.2853356352,-16.2853356352,,40.3542192508,-36.9346720091,,,,214.8234098905,,,100.6458198263,29.5036101955,,,,,254.6563344729,64.1838204331,-357.2664872483,,-7.9004113403,,-13.9353404307,,,,,43.9245606349,-18.1491229152,,,,,298.0957333494,标准无保留意见,,,,21622980.3,32.6649245455
688327.SH,688327,云从科技,10451967,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-07 00:00:00,2023-04-18 00:00:00,CNY,842321139.16,,,,,,,,,,,,16751312.8,205311167.51,,0,1064383619.47,706629735.46,,,,,,624470224.01,28973165.9,251107976.22,,0,1611181101.59,,0,-546797482.12,1717000000,17261362.89,3621264.76,,,,,0,1737882627.65,48693831.48,1410400000.0,,,,,,0,1459093831.48,,0,278788796.17,,,501837431.63,,186800621.95,,0,688638053.58,278800000.0,10684199.4,,,307203528.02,,,0.0,596687727.42,,0,91950326.16,-7216.37,,0,-176065576.16,970105150.44,,0,794039574.28,-664112564.82,19070619.55,92376513.92,92376513.92,,25195549.31,26750123.59,,,,-2232139.45,,,14341334.26,-14553963.91,,,,,-50412345.24,-279923584.99,57561199.34,,177402503.57,0,-546797482.12,,,,,794039574.28,970105150.44,,,,,-176065576.16,15.4864844699,,,,,,,,,,,,216.3130972515,13.6248694158,,,16.2808846516,49.1934702039,,,,,,10.4727608425,156.8176651164,-23.2221559906,,,16.9859379671,,,-18.3831919421,2.2236775519,-4.0856403885,,,,,,,2.3701037519,-73.0778315811,-7.5844445172,,,,,,,-14.5238622498,,,3074.614940787,,,140.3435975239,,70.3605806958,,,29.5893615072,829.3333333333,62.0257557182,,,373.5709987418,,,,488.0798927644,,,-78.6130411995,82.4625148184,,,-325.6415277655,-4.0895685584,,,-18.1491229152,21.3075549415,54.5882015882,12.4621457358,12.4621457358,,80.2958556067,12.4872468226,,,,,,,112.4605733047,2.1867858928,,,,,54.2255100306,-38.8833146214,-83.367767266,,-6.6389195413,,-18.3831919421,,,,,-18.1491229152,-4.0895685584,,,,,-325.6415277655,标准无保留意见,,,,16298942.9,
688327.SH,688327,云从科技,10451967,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-07-13 00:00:00,2022-05-24 00:00:00,CNY,729367720.41,,,,,,,,,,,,5295801.2,180692104.26,,0,915355625.87,473633151.97,,,,,,565270768.33,11281609.42,327057863.45,,0,1377243393.17,,0,-461887767.3,1679650000,17996640.92,,,,,,0,1697646640.92,180868905.96,1526150000.0,,,,,,0,1707018905.96,,0,-9372265.04,212950000.0,,208800000.0,,109650143.94,,0,531400143.94,30000000.0,6594136.44,,,64869582.14,,,0.0,101463718.58,,0,429936425.36,-41148.26,,0,-41364755.24,1011469905.68,,0,970105150.44,-843934337.44,12336400.42,82140095.51,82140095.51,,13974558.22,23780583.44,,,,,25650.91,-1678361.33,6750115.58,-14879343.29,,,,,-110131964.93,-201553070.47,346082214.34,,190017620.51,0,-461887767.3,,,,,970105150.44,1011469905.68,,,,,-41364755.24,-40.7146130617,,,,,,,,,,,,-52.2847474652,147.7979056084,,,-30.3532589073,-54.9462053403,,,,,,44.1988854884,1.9942553512,-10.5971997632,,,-24.3337395244,,,8.694685981,-23.2033614675,11.4794894959,,,,,,,-22.949240268,-33.7109439119,-38.6805150973,,,,,,,-38.1895341059,,,98.3216319504,-83.9352412564,,596.0,,1338.0128545459,,,-61.0181094588,,6329.564660006,,,1001.9259186757,,,,1594.0301119028,,,-68.3219939607,-452.1403555854,,,-114.121835996,40.7641501163,,,-4.0895685584,-21.9383013125,-7.3047923047,286.7126118662,286.7126118662,,66.105998152,146.6246967847,,,,,-95.8810063836,-90.7251064251,3730.3574405661,2.8678788792,,,,,-584.3830296611,-35.3020705357,1021.3460845828,,-17.8967964178,,8.694685981,,,,,-4.0895685584,40.7641501163,,,,,-114.121835996,标准无保留意见,,,,,
688327.SH,688327,云从科技,10451967,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-12-03 00:00:00,2022-05-24 00:00:00,CNY,1230265598.45,,,,,,,,,,,,11098759.66,72919141.03,,0,1314283499.14,1051261398.84,,,,,,392007723.51,11061024.35,365825077.72,,0,1820155224.42,,0,-505871725.28,2187140000,16143454.73,,,,,,0,2203283454.73,272848817.94,2488850000.0,,,,,,0,2761698817.94,,0,-558415363.21,1325572350.0,,30000000.0,,7625115.7,,0,1363197465.7,,102559.61,,,5886927.7,,,0.0,5989487.31,,0,1357207978.39,-7452.5,,0,292913437.4,718556468.28,,0,1011469905.68,-692099470.27,13308563.33,21240604.26,21240604.26,,8413036.48,9642417.71,,,,,622747.02,-879989.72,176226.78,-15318664.02,,,,,22736544.88,-148965252.1,30863104.54,,231437522.8,0,-505871725.28,,,,,1011469905.68,718556468.28,,,,,292913437.4,177.3245648987,,,,,,,,,,,,75.1961910314,-22.1319776884,,,141.774458804,111.8968463505,,,,,,154.5000145889,-51.190380617,157.1772794915,,,123.3160970491,,,-86.3530412799,-17.9016910343,77.2769554276,,,,,,,-17.5774564329,330.1321177908,-2.3919147868,,,,,,,5.6796612307,,,-1032.5165293914,50.9763496583,,,,266.5921009615,,,54.8947215821,,,,,-11.1944664437,,,,-9.6473333122,,,55.3845600873,,,,-55.7448885568,1167.7055773114,,,40.7641501163,-245.8330732738,839.1332776449,253.7173380682,253.7173380682,,5.7536271536,132.8574904343,,,,,,,,-72.0088791675,,,,,124.2492456654,22.3483322783,-84.8452941763,,,,-86.3530412799,,,,,40.7641501163,1167.7055773114,,,,,-55.7448885568,标准无保留意见,,,,,
688327.SH,688327,云从科技,10451967,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2020-12-03 00:00:00,2021-08-04 00:00:00,CNY,443619409.95,,,,,,,,,,,,6335046.21,93644526.81,,0,543598982.97,496119417.04,,,,,,154030530.86,22661566.49,142246266.25,,0,815057780.64,,0,-271458797.67,2664050000,9106347.01,,,,,,0,2673156347.01,63433723.42,2549840000.0,,,,,,0,2613273723.42,,0,59882623.59,878000000.0,,,,2080000.0,,0,880080000.0,,,,,6629010.0,,,0.0,6629010.0,,0,873450990.0,,,0,661874815.92,56681652.36,,0,718556468.28,-200125298.52,1417111.25,6004965.54,6004965.54,,7955317.19,4140909.4,,,,,,,,-8905740.27,,,,,-93761864.57,-191837801.39,203653603.7,,,0,-271458797.67,,,,,718556468.28,56681652.36,,,,,661874815.92,981.1350206048,,,,,,,,,,,,2280.2778603761,127.5501418663,,,559.2894110638,1797.3945830194,,,,,,126.1358956757,1333.8060626633,160.989603288,,,442.1259670051,,,-299.8363966236,455.4733110926,140.6972691882,,,,,,,453.0096382125,411.0610662138,241.9849785408,,,,,,,244.7535352531,,,121.804928879,134.7593582888,,,,,,,135.3155080214,,,,,,,,,,,,133.5430454545,,,,2002.6122990174,124.9007574981,,,1167.7055773114,-61.6076176572,335.7691222435,70.3237747035,70.3237747035,,5.1705857318,160.2610493666,,,,,,,,-135.3948691758,,,,,-290.3661828894,-326.350819712,77.4307846047,,,,-299.8363966236,,,,,1167.7055773114,124.9007574981,,,,,2002.6122990174,标准无保留意见,,,,,
688327.SH,688327,云从科技,10451967,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2020-12-03 00:00:00,2020-12-03 00:00:00,CNY,41032748.13,,,,,,,,,,,,266147.34,41153359.01,,0,82452254.48,26147403.47,,,,,,68114144.55,1580518.25,54502656.22,,0,150344722.49,,0,-67892468.01,479600000,3783319.62,,,,,,0,483383319.62,12412161.21,745600000.0,,,,,,0,758012161.21,,0,-274628841.59,374000000.0,,,,,,0,374000000.0,,,,,,,,,,,0,374000000.0,,,0,31478690.4,25202961.96,,0,56681652.36,-123834075.04,325197.72,3525617.93,3525617.93,,7564203.56,1591059.98,,,,,,953909.98,,-3783319.62,,,,,-24018951.61,-44995293.2,114779182.29,,,0,-67892468.01,,,,,56681652.36,25202961.96,,,,,31478690.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见,,,,,
