SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT_INTERBANK,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ACCRUED_EXPENSE,ADVANCE_RECEIVABLES,AGENT_TRADE_SECURITY,AGENT_UNDERWRITE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,AMORTIZE_COST_NCFINASSET,AMORTIZE_COST_NCFINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,ASSIGN_CASH_DIVIDEND,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,CONSUMPTIVE_BIOLOGICAL_ASSET,CONTRACT_ASSET,CONTRACT_LIAB,CONVERT_DIFF,CREDITOR_INVEST,CURRENT_ASSET_BALANCE,CURRENT_ASSET_OTHER,CURRENT_LIAB_BALANCE,CURRENT_LIAB_OTHER,DEFER_INCOME,DEFER_INCOME_1YEAR,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DEVELOP_EXPENSE,DIV_HOLDSALE_ASSET,DIV_HOLDSALE_LIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,EQUITY_BALANCE,EQUITY_OTHER,EXPORT_REFUND_RECE,FEE_COMMISSION_PAYABLE,FIN_FUND,FINANCE_RECE,FIXED_ASSET,FIXED_ASSET_DISPOSAL,FVTOCI_FINASSET,FVTOCI_NCFINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,INSURANCE_CONTRACT_RESERVE,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INTERNAL_PAYABLE,INTERNAL_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LOAN_PBC,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PAYABLE,LONG_PREPAID_EXPENSE,LONG_RECE,LONG_STAFFSALARY_PAYABLE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_ASSET_1YEAR,NONCURRENT_ASSET_BALANCE,NONCURRENT_ASSET_OTHER,NONCURRENT_LIAB_1YEAR,NONCURRENT_LIAB_BALANCE,NONCURRENT_LIAB_OTHER,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OIL_GAS_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,PREDICT_CURRENT_LIAB,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,PREPAYMENT,PRODUCTIVE_BIOLOGY_ASSET,PROJECT_MATERIAL,RC_RESERVE_RECE,REINSURE_PAYABLE,REINSURE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_BOND_PAYABLE,SHORT_FIN_PAYABLE,SHORT_LOAN,SPECIAL_PAYABLE,SPECIAL_RESERVE,STAFF_SALARY_PAYABLE,SUBSIDY_RECE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,TREASURY_SHARES,UNASSIGN_RPOFIT,UNCONFIRM_INVEST_LOSS,USERIGHT_ASSET,ACCEPT_DEPOSIT_INTERBANK_YOY,ACCOUNTS_PAYABLE_YOY,ACCOUNTS_RECE_YOY,ACCRUED_EXPENSE_YOY,ADVANCE_RECEIVABLES_YOY,AGENT_TRADE_SECURITY_YOY,AGENT_UNDERWRITE_SECURITY_YOY,AMORTIZE_COST_FINASSET_YOY,AMORTIZE_COST_FINLIAB_YOY,AMORTIZE_COST_NCFINASSET_YOY,AMORTIZE_COST_NCFINLIAB_YOY,APPOINT_FVTPL_FINASSET_YOY,APPOINT_FVTPL_FINLIAB_YOY,ASSET_BALANCE_YOY,ASSET_OTHER_YOY,ASSIGN_CASH_DIVIDEND_YOY,AVAILABLE_SALE_FINASSET_YOY,BOND_PAYABLE_YOY,BORROW_FUND_YOY,BUY_RESALE_FINASSET_YOY,CAPITAL_RESERVE_YOY,CIP_YOY,CONSUMPTIVE_BIOLOGICAL_ASSET_YOY,CONTRACT_ASSET_YOY,CONTRACT_LIAB_YOY,CONVERT_DIFF_YOY,CREDITOR_INVEST_YOY,CURRENT_ASSET_BALANCE_YOY,CURRENT_ASSET_OTHER_YOY,CURRENT_LIAB_BALANCE_YOY,CURRENT_LIAB_OTHER_YOY,DEFER_INCOME_1YEAR_YOY,DEFER_INCOME_YOY,DEFER_TAX_ASSET_YOY,DEFER_TAX_LIAB_YOY,DERIVE_FINASSET_YOY,DERIVE_FINLIAB_YOY,DEVELOP_EXPENSE_YOY,DIV_HOLDSALE_ASSET_YOY,DIV_HOLDSALE_LIAB_YOY,DIVIDEND_PAYABLE_YOY,DIVIDEND_RECE_YOY,EQUITY_BALANCE_YOY,EQUITY_OTHER_YOY,EXPORT_REFUND_RECE_YOY,FEE_COMMISSION_PAYABLE_YOY,FIN_FUND_YOY,FINANCE_RECE_YOY,FIXED_ASSET_DISPOSAL_YOY,FIXED_ASSET_YOY,FVTOCI_FINASSET_YOY,FVTOCI_NCFINASSET_YOY,FVTPL_FINASSET_YOY,FVTPL_FINLIAB_YOY,GENERAL_RISK_RESERVE_YOY,GOODWILL_YOY,HOLD_MATURITY_INVEST_YOY,HOLDSALE_ASSET_YOY,HOLDSALE_LIAB_YOY,INSURANCE_CONTRACT_RESERVE_YOY,INTANGIBLE_ASSET_YOY,INTEREST_PAYABLE_YOY,INTEREST_RECE_YOY,INTERNAL_PAYABLE_YOY,INTERNAL_RECE_YOY,INVENTORY_YOY,INVEST_REALESTATE_YOY,LEASE_LIAB_YOY,LEND_FUND_YOY,LIAB_BALANCE_YOY,LIAB_EQUITY_BALANCE_YOY,LIAB_EQUITY_OTHER_YOY,LIAB_OTHER_YOY,LOAN_ADVANCE_YOY,LOAN_PBC_YOY,LONG_EQUITY_INVEST_YOY,LONG_LOAN_YOY,LONG_PAYABLE_YOY,LONG_PREPAID_EXPENSE_YOY,LONG_RECE_YOY,LONG_STAFFSALARY_PAYABLE_YOY,MINORITY_EQUITY_YOY,MONETARYFUNDS_YOY,NONCURRENT_ASSET_1YEAR_YOY,NONCURRENT_ASSET_BALANCE_YOY,NONCURRENT_ASSET_OTHER_YOY,NONCURRENT_LIAB_1YEAR_YOY,NONCURRENT_LIAB_BALANCE_YOY,NONCURRENT_LIAB_OTHER_YOY,NOTE_ACCOUNTS_PAYABLE_YOY,NOTE_ACCOUNTS_RECE_YOY,NOTE_PAYABLE_YOY,NOTE_RECE_YOY,OIL_GAS_ASSET_YOY,OTHER_COMPRE_INCOME_YOY,OTHER_CREDITOR_INVEST_YOY,OTHER_CURRENT_ASSET_YOY,OTHER_CURRENT_LIAB_YOY,OTHER_EQUITY_INVEST_YOY,OTHER_EQUITY_OTHER_YOY,OTHER_EQUITY_TOOL_YOY,OTHER_NONCURRENT_ASSET_YOY,OTHER_NONCURRENT_FINASSET_YOY,OTHER_NONCURRENT_LIAB_YOY,OTHER_PAYABLE_YOY,OTHER_RECE_YOY,PARENT_EQUITY_BALANCE_YOY,PARENT_EQUITY_OTHER_YOY,PERPETUAL_BOND_PAYBALE_YOY,PERPETUAL_BOND_YOY,PREDICT_CURRENT_LIAB_YOY,PREDICT_LIAB_YOY,PREFERRED_SHARES_PAYBALE_YOY,PREFERRED_SHARES_YOY,PREMIUM_RECE_YOY,PREPAYMENT_YOY,PRODUCTIVE_BIOLOGY_ASSET_YOY,PROJECT_MATERIAL_YOY,RC_RESERVE_RECE_YOY,REINSURE_PAYABLE_YOY,REINSURE_RECE_YOY,SELL_REPO_FINASSET_YOY,SETTLE_EXCESS_RESERVE_YOY,SHARE_CAPITAL_YOY,SHORT_BOND_PAYABLE_YOY,SHORT_FIN_PAYABLE_YOY,SHORT_LOAN_YOY,SPECIAL_PAYABLE_YOY,SPECIAL_RESERVE_YOY,STAFF_SALARY_PAYABLE_YOY,SUBSIDY_RECE_YOY,SURPLUS_RESERVE_YOY,TAX_PAYABLE_YOY,TOTAL_ASSETS_YOY,TOTAL_CURRENT_ASSETS_YOY,TOTAL_CURRENT_LIAB_YOY,TOTAL_EQUITY_YOY,TOTAL_LIAB_EQUITY_YOY,TOTAL_LIABILITIES_YOY,TOTAL_NONCURRENT_ASSETS_YOY,TOTAL_NONCURRENT_LIAB_YOY,TOTAL_OTHER_PAYABLE_YOY,TOTAL_OTHER_RECE_YOY,TOTAL_PARENT_EQUITY_YOY,TRADE_FINASSET_NOTFVTPL_YOY,TRADE_FINASSET_YOY,TRADE_FINLIAB_NOTFVTPL_YOY,TRADE_FINLIAB_YOY,TREASURY_SHARES_YOY,UNASSIGN_RPOFIT_YOY,UNCONFIRM_INVEST_LOSS_YOY,USERIGHT_ASSET_YOY,OPINION_TYPE,OSOPINION_TYPE,LISTING_STATE
688327.SH,688327,云从科技,10451967,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,,265284461.97,352082237.61,,,,,,,,,,,0,,,,,,,4499497898.75,,,315417850.72,74712299.43,,,0,,0,,250461693.86,,8004420.43,8199536.01,,,2127678.3,,,,,0,,,,,984276.0,101980714.28,,,,,,,,,,,,65801407.76,,,,,63569363.46,,2843696.41,,0,,,,,,11978159.05,,,499799.01,,,-227846516.11,837522299.67,42688876.7,0,,5014890.71,0,,266484552.53,363435787.68,1200090.56,11353550.07,,4856278.06,53250273.97,50193014.64,5661584.08,21849879.4,,,3041739.45,,,,,0,,,,,,,,,15651458.46,,,,,,,,1036938787,,,398611400.66,,,27640494.55,,,7004330.92,1982248295.74,1704600949.7,830669730.76,890073638.7,1982248295.74,1092174657.04,277647346.04,261504926.28,45540177.88,15138022.37,1117920154.81,,,,,,-4423372809.0,,9113274.39,,11.4249117305,-5.0971510934,,,,,,,,,,,,,,,,,,4.5209932997,,,-9.5969182552,25.7124992056,,,,,,,,4.0281175695,88.3416095366,27.6020697187,,,,,,,,,,,,,-7.1526466386,,-35.2614437803,,,,,,,,,,,-41.7657430506,,,,,-0.4082708799,,-60.9213690807,,,,,,,,16.070012401,,,-94.6979094959,,,-4.724727703,-30.6052348839,-60.3528320009,,,-76.1145401811,,,-1.6543531218,-2.5205693935,-96.3504991043,516.6936733869,,-43.8489695362,-42.7423324666,4.8953249131,-7.9567786018,15.915221187,,,-89.3666811055,,,,,,,,,,,,,,-21.1562055065,,,,,,,,0.0,,,-31.1155797097,,,-62.1978618294,,,-13.6542863336,-27.87946219,-25.4695126013,-23.7109421138,-36.6590246263,-27.87946219,-18.6953458718,-39.8253118446,2.7660828344,-36.2203721742,-16.6240530268,-31.1106702466,,,,,,-18.6627226895,,-65.5165472987,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-18 00:00:00,2025-04-30 00:00:00,CNY,,238083618.69,370992274.38,,,,,,,,,,,0,,,,,,,4304874797.59,,,348901657.59,59431082.75,,,0,,0,,240763458.68,,4249947.98,6425864.43,,,,,,,,0,,,,,1060101.3,157527013.63,,,,,,,,,,,,112994328.78,,,,,63829962.61,,7276857.82,,0,,,,,,10319770.63,,,9426451.88,,,-217567064.73,1206895503.24,107671944.44,0,,20995579.52,0,,270967308.66,372833309.98,32883689.97,1841035.6,,8648600.07,93001123.28,47850573.59,6151006.01,18849879.4,,,28605739.0,,,,,0,,,,,,,,,19851224.26,,,,,,,,1036938787,,,578666988.82,,,73118865.46,,,8111961.35,2748521233.94,2287119015.58,1088845181.44,1405209871.57,2748521233.94,1343311362.37,461402218.36,254466180.93,71402388.87,18156342.35,1622776936.3,,100068396.22,,,,-3727685248.36,,26427963.78,,29.5148400896,85.2401474302,,,,,,,,,,,,,,,,,,-2.9213022875,,,-29.727804668,7.2894430097,,,,,,,,57.2394194284,-33.3748988129,9.5228903452,,,,,,,,,,,,,-69.7829579889,,624.3907031552,,,,,,,,,,,10.9944612342,,,,,-49.1780919684,,-66.3609347195,,,,,,,,371.7194835255,,,-46.9087536527,,,-6.7191137169,-15.7391410933,,,,0.6317608831,,,43.8501154805,82.8727193914,624.2275489441,-48.8524854721,,202.2357452773,-10.6382577776,-53.0697663523,13.1591888155,7439.95176,,,,,,,,,,,,,,,,,-21.3410132938,,,,,,,,40.000000027,,,-30.0468883132,,,2.0148044524,,,69.0941319875,-19.7433490069,-26.9614670903,-16.5085399661,-25.6444750385,-19.7433490069,-12.4771442953,57.3259437202,10.31492159,-45.2375955736,-13.8323763495,-22.4931826998,-86.1267690798,,,,,-20.8628265222,,-32.3843353311,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-18 00:00:00,2024-04-18 00:00:00,CNY,,183827288.46,200276386.91,,,,,,,,,,,0,,,,,,,4434417538.58,,,496500295.66,55393225.17,,,0,,0,,153119020.38,,6378899.1,5867142.85,,,,,,,,0,,,,,3508289.46,21746139.61,,,,,,,,,,,,101801772.38,,,,,125595368.38,,21632164.15,,0,,,,,,2187692.26,50054166.66,,17755190.41,,,-203868882.67,1432332305.77,,0,,20863770.38,0,,188367807.53,203875849.4,4540519.07,3599462.49,,2861541.1,104072638.88,101961081.1,5435710.59,250000.0,,,,,,,,0,,,,,,,,,25237070.92,,,,,,,,740670562,,,827221227.0,,,71674759.22,,,4797305.06,3424664747.32,3131386850.84,1304139586.25,1889852667.03,3424664747.32,1534812080.29,293277896.48,230672494.04,130385781.3,21070956.33,2093721549.7,,721305633.82,,,,-3084228091.98,,39085563.84,,-33.9609543731,-43.27045648,,,,,,,,,,,,,,,,,,60.8657204527,,,17.8677140577,22.0122897681,,,,,,,,-14.716592235,,,,,,,,,,,,,,,-49.5031605168,,-76.3428544423,,,,,,,,,,,-5.1620128409,,,,,-42.3003981166,,-28.1142308297,,,,,,,,19.2401240464,,,-39.7460540639,,,-30.1245978582,68.1056416955,,,,2.3954438512,,,-44.8377008428,-42.4670637203,-92.806270917,171.3457854668,,43.8653580361,,164.5730654402,27.7702568374,,,,,,,,,,,,,,,,,,27.0567015819,,,,,,,,17.896010987,,,90.7338558805,,,-37.9589263789,,,-49.4032827341,48.0844259078,53.8627755418,19.7891572217,86.3183491812,48.0844259078,18.2143583401,5.7002558549,10.0359208769,10.055180307,-6.4808982354,78.7999058559,,,,,,-39.1900503224,,-16.6530253617,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-07 00:00:00,2023-04-18 00:00:00,CNY,,278361515.85,353037191.0,,,,,,,,,,,0,,,,,,,2756595703.61,,,421235195.43,45399709.55,,,0,,0,,179541395.44,,,,,,,,,,,0,,,,,6947542.65,91922077.23,,,,,,,,,,,,107342822.67,,,,,217671117.79,,30092415.23,,0,,,,,,1834694.72,,,29467265.81,,,-156672055.88,852042972.1,101989041.1,0,,20375682.35,0,,341479253.78,354363713.35,63117737.93,1326522.35,,1989041.1,,38537967.17,4254284.78,,,,,,,,,0,,,,,,,,,19862841.24,,,,,,,,628240562,,,433704453.35,,,115527915.68,,,9481455.16,2312643430.48,2035181569.95,1088695852.36,1014313767.45,2312643430.48,1298329663.03,277461860.53,209633810.67,118473097.71,22531179.12,1170985823.33,,,,,,-2215839483.38,,46895000.1,,45.106702251,-27.0910381202,,,,,,,,,,,,,,,,,,6.8807337261,,,,-39.7019955484,,,,,,,,-10.8118370717,,,,,,,,,,,,,,,-19.1324102631,,-49.3485601784,,,,,,,,,,,30.0543469315,,,,,21.1748327904,,,,,,,,,,,,,-41.3529908552,,,-25.7225744587,-14.7445064006,,,,,,,1.8307048358,-26.8170857721,-56.0179260743,,,,,39.5834902757,-43.7385229939,,,,,,,,,,,,,,,,,,-42.5387531728,,,,,,,,0.0,,,107.7128607998,,,0.655501931,,,78.3482184748,-7.1650502626,1.4105937829,37.8822847571,-32.3901071872,-7.1650502626,31.0266366515,-42.7041516182,4.1367335678,178.7751906225,-30.4491238531,-27.9332087036,,,,,,-40.0204663695,,,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-07-13 00:00:00,2022-05-24 00:00:00,CNY,,191832294.12,484216455.56,,,,,,,,,,,0,,,,,,,2579132466.17,,,,75292225.61,,,0,,0,,201306305.17,,,,,,,,,,,0,,,,,8591257.23,181479692.49,,,,,,,,,,,,82536897.23,,,,,179633932.87,,,,0,,,,,,,,,50245129.7,,,-124617282.58,999399494.54,,0,,,0,,335340165.16,484216455.56,143507871.04,,,,170000000.0,27609258.87,7561630.1,,,,,,,,,0,,,,,,,,,34567369.03,,,,,,,,628240562,,,208800000.0,,,114775559.67,,,5316260.09,2491134467.16,2006872747.74,789583559.83,1500244602.16,2491134467.16,990889865.0,484261719.42,201306305.17,42497719.2,32395248.44,1624861884.74,,240459731.2,,,,-1582511143.43,,,,69.2111734665,66.1319757879,,,,,,,,,,,,,,,,,,42.6544491228,,,,,,,,,,,,101.2216411645,,,,,,,,,,,,,,,45.1692504499,,-1.8036781604,,,,,,,,,,,70.7782681973,,,,,119.4984290007,,,,,,,,,,,,,-19.9644005312,,,-34.883302414,-1.4729994303,,,,,,,117.8332559031,66.1319757879,253.6859853528,,,,240.0,-20.0496468881,,,,,,,,,,,,,,,,,,,-40.8947286449,,,,,,,,4.7067603333,,,596.0,,,35.9814641943,,,-11.3660280346,5.3641002446,-0.456328713,11.1789980004,-3.4639539593,5.3641002446,22.2968478107,39.0606351073,101.2216411645,-89.9743303313,114.3516233999,-1.3121554842,-53.2525105942,,,,,-107.8172055857,,,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-12-03 00:00:00,2022-05-24 00:00:00,CNY,,113368573.83,291464935.19,,11955403.21,,,,,,,,,0,,,,,,,1807957958.57,2316354.38,,,,,,0,,0,,100042075.0,,,,,,,,,,,0,,,,,5918097.12,184813126.49,,,,,,,,,,,,48329859.59,,,,,81838368.36,,,,0,,,,,,,,,62778476.12,,,-92388961.68,1014340727.68,,0,,,0,,153943512.33,291464935.19,40574938.5,,,,50000000.0,34533004.29,,,,,,,,,,0,,,,,,,,,58484409.66,,,,,,,,600000000,,,30000000.0,,,84405297.7,,,5997993.74,2364310482.77,2016072666.19,710191289.75,1554077118.02,2364310482.77,810233364.75,348237816.58,100042075.0,423889082.77,15113134.17,1646466079.7,,514379989.72,,,,-761491878.87,,,,-19.2762675823,31.446283743,,-69.9524954545,,,,,,,,,,,,,,,,135.766004088,-80.5917323165,,,,,,,,,,,2.0993774557,,,,,,,,,,,,,,,,,563.7364971638,,,,,,,,,,,164.2976860893,,,,,-30.576896151,,,,,,,,,,,,,900.3143867809,,,-133.6133066753,40.2636760087,,,,,,,6.1758381489,29.4005833372,791.9509629568,,,,,-87.1469587571,,,,,,,,,,,,,,,,,,,254.2850140942,,,,,,,,559.5933560788,,,,,,91.6667189649,,,86.9229729639,65.9782254107,48.2265755924,-17.0038644621,230.0975594838,65.9782254107,-15.0411127496,441.2356451038,2.0993774557,-32.0329066559,74.6653462825,222.620713965,,,,,,-119.1543730273,,,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2020-12-03 00:00:00,2021-08-04 00:00:00,CNY,,140440203.19,221736915.56,,39788339.8,,,,,,,,,0,,,,,,,766844213.0,11934884.75,,,,,,0,,0,,97985000.0,,,,,,,,,,,0,,,,,,27844351.98,,,,,,,,,,,,18286145.56,,,,,117883476.57,,,,0,,,,,,,,,6275874.56,,,-39547816.43,723167078.28,,0,,,0,,144989213.19,225242365.74,4549010.0,3505450.18,,,,268675744.81,,,,,,,,,,0,,,,,,,,,16507728.9,,,,,,,,90965137,,,,,,44037534.61,,,3208805.02,1424470274.29,1360129017.44,855691997.16,470793277.13,1424470274.29,953676997.16,64341256.85,97985000.0,623668104.54,8652623.14,510341093.56,,,,,,-347468256.44,,,,161.9077548246,367.9721555885,,517.9632140581,,,,,,,,,,,,,,,,49.7779059224,1015.9813077357,,,,,,,,,,,201.8638324091,,,,,,,,,,,,,,,,,237.5225912055,,,,,,,,,,,183.0352651533,,,,,382.1232300489,,,,,,,,,,,,,18.6741676341,,,-96.7774658973,1175.8397967776,,,,,,,170.391230131,373.7214975278,,2025.5277847508,,,,-29.0203387406,,,,,,,,,,,,,,,,,,,255.044779984,,,,,,,,5.9930277398,,,,,,156.3509909616,,,117.5690267135,165.6183137881,163.9917281564,821.0290065779,14.5709405775,165.6183137881,660.7137071177,205.3961058922,201.8638324091,4294.5060108815,157.357804438,18.4041251499,,,,,,-108.3229976217,,,标准无保留意见,,0
688327.SH,688327,云从科技,10451967,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2020-12-03 00:00:00,2020-12-03 00:00:00,CNY,,53622010.27,47382501.91,,6438625.94,,,,,,,,,0,,,,,,,511987538.0,1069452.03,,,,,,0,,0,,32460000.0,,,,,,,,,,,0,,,,,,8249626.16,,,,,,,,,,,,6460730.45,,,,,24450901.6,,,,0,,,,,,,,,5288324.06,,,-20097736.42,56681652.36,,0,,,0,,53622010.27,47547423.31,,164921.4,,,,378524974.68,,,,,,,,,,0,,,,,,,,,4649477.99,,,,,,,,85821812,,,,,,17178609.08,,,1474844.59,536284661.24,515216528.54,92906085.59,410918575.65,536284661.24,125366085.59,21068132.7,32460000.0,14191995.71,3362098.6,431016312.07,,,,,,-166793037.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见,,0
