REPORT_DATE,净资产,总资产,研发费用
2018-12-31 00:00:00,-5364506000.0,16948113000.0,848837000.0
2019-12-31 00:00:00,-10654299000.0,23948047000.0,1915933000.0
2020-12-31 00:00:00,-20932540000.0,38478637000.0,2453874000.0
2021-12-31 00:00:00,31987084000.0,36944319000.0,3614140000.0
2022-12-31 00:00:00,29013860000.0,37426993000.0,4014337000.0
2023-12-31 00:00:00,23155473000.0,32888024000.0,3465766000.0
2024-12-31 00:00:00,23641705000.0,34599511000.0,4131884000.0
